"url","text"
"https://pec.ac.in/computer-centre","Computer Centre"
"https://pec.ac.in/Sports","Sports"
"https://pec.ac.in/hostels","Hostels"
"https://pec.ac.in/medical-facilities","Medical Facility"
"https://pec.ac.in/workshops","Workshops"
"https://pec.ac.in/multimedia","Multimedia"
"https://pec.ac.in/prospectus","Brochure & Prospectus"
"https://pec.ac.in/institute/sexual-harassment-complaints-committee","Sexual Harassment Complaints"
"https://pec.ac.in/credits","Website Credits"
"https://pec.ac.in/web_editor","Web Editor"
"https://pec.ac.in/anti-ragging","Anti-Ragging"
"https://pec.ac.in/privacy-policy","Privacy Statement"
"https://pec.ac.in/reporting-copyright-infringement","Report Copyright Infringement"
"https://pec.ac.in/institute/email-services","Webmail"
"https://pec.ac.in/institute/email-services/jobs","Jobs"
"https://pec.ac.in/institute/email-services/tenders","Tenders"
"https://pec.ac.in/office-orders","Office Orders"
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/nirf-data-20","NIRF"
"https://pec.ac.in/institute/email-services/node/549","RTI"
"https://pec.ac.in/institute/email-services/tnp/about-cell","Placements"
"https://pec.ac.in/institute/email-services/institute-functionaries","Contact Us"
"https://pec.ac.in/institute/email-services/",""
"https://pec.ac.in/institute/email-services/","Home"
"https://pec.ac.in/institute/email-services/institute","Institute"
"https://pec.ac.in/institute/email-services/history","History"
"https://pec.ac.in/institute/email-services/vision","Vision & Mission"
"https://pec.ac.in/institute/email-services/campus","Campus"
"https://pec.ac.in/institute/email-services/location","Location"
"https://pec.ac.in/institute/email-services/all_events","News and Events"
"https://pec.ac.in/institute/email-services/tenders","Tenders & Quotations"
"https://pec.ac.in/institute/email-services/balance-sheets","Balance Sheets"
"https://pec.ac.in/institute/email-services/faculty-affairs","Faculty Affairs"
"https://pec.ac.in/institute/email-services/institute/iqac-reports","IQAC Reports"
"https://pec.ac.in/institute/email-services/administration","Administration"
"https://pec.ac.in/institute/email-services/board-of-governors","Board Of Governors"
"https://pec.ac.in/institute/email-services/chairman-bog","Chairman, Board of Governors"
"https://pec.ac.in/institute/email-services/director","Director"
"https://pec.ac.in/institute/email-services/senate-members","Senate Members"
"https://pec.ac.in/institute/email-services/building-works-committee","Building & Works Committee"
"https://pec.ac.in/institute/email-services/finance-committee","Finance Committee"
"https://pec.ac.in/institute/email-services/grievance-redressal-committee","Grievance Redressal Committee"
"https://pec.ac.in/institute/email-services/institute-functionaries","Institute Functionaries"
"https://pec.ac.in/institute/email-services/minutes-meetings","Minutes of Meetings"
"https://pec.ac.in/institute/email-services/programmes","Programmes"
"https://pec.ac.in/institute/email-services/programmes/ug/structure","Undergraduate"
"https://pec.ac.in/institute/email-services/programmes/pg/structure","Postgraduate"
"https://pec.ac.in/institute/email-services/programmes/phd","Doctorate"
"https://pec.ac.in/institute/email-services/programmes/student-support","Academic Support for Students"
"https://pec.ac.in/institute/email-services/programmes/accreditation","Accreditation"
"https://pec.ac.in/institute/email-services/programmes/scholarships","Scholarships"
"https://pec.ac.in/institute/email-services/iqac/aqar-reports","IQAC Reports"
"https://pec.ac.in/institute/email-services/admissions","Admissions"
"https://pec.ac.in/institute/email-services/academic-units","Academic Units"
"https://pec.ac.in/institute/email-services/departments","Departments"
"https://pec.ac.in/institute/email-services/centres","Centres"
"https://pec.ac.in/institute/email-services/research/overview","Research"
"https://pec.ac.in/institute/email-services/research/overview","Overview"
"https://pec.ac.in/institute/email-services/research-groups","Research Groups"
"https://pec.ac.in/institute/email-services/sponsored-research","Sponsored Research"
"https://pec.ac.in/institute/email-services/house-projects","In-House Projects"
"https://pec.ac.in/institute/email-services/consultancy","Consultancy"
"https://pec.ac.in/institute/email-services/courses-and-conferences","Courses and Conferences"
"https://pec.ac.in/institute/email-services/yrf/about-programme","Young Research Fellows Programme"
"https://pec.ac.in/institute/email-services/norms-and-forms","Norms and Forms"
"https://pec.ac.in/institute/email-services/research/contacts","Contacts"
"https://pec.ac.in/institute/email-services/campus-life","Campus Life"
"https://pec.ac.in/institute/email-services/current-students","Students"
"https://pec.ac.in/institute/email-services/facilities","Facilities"
"https://pec.ac.in/institute/email-services/institute","Institute"
"https://pec.ac.in/institute/email-services/history","History"
"https://pec.ac.in/institute/email-services/vision","Vision & Mission"
"https://pec.ac.in/institute/email-services/campus","Campus"
"https://pec.ac.in/institute/email-services/location","Location"
"https://pec.ac.in/institute/email-services/top-stories","Top Stories"
"https://pec.ac.in/institute/email-services/pec-anthem","PEC Anthem"
"https://pec.ac.in/institute/email-services/all_events","News & Events"
"https://pec.ac.in/institute/email-services/rules-guidelines-forms","Rules, Guidelines & Forms"
"https://pec.ac.in/institute/email-services/office-orders","Office Orders"
"https://pec.ac.in/institute/email-services/tenders","Tenders and Quotations"
"https://pec.ac.in/institute/email-services/jobs","Job Openings"
"https://pec.ac.in/sites/default/files/uploads/events/Email_Manual.pdf","Click here to Download Manual"
"https://pec.ac.in/institute/email-services/research/overview","Overview"
"https://pec.ac.in/institute/email-services/research-groups","Research Groups"
"https://pec.ac.in/institute/email-services/sponsored-research","Sponsored Research"
"https://pec.ac.in/institute/email-services/consultancy","Consultancy"
"https://pec.ac.in/institute/email-services/coe/collaborations","Collaborations"
"https://pec.ac.in/institute/email-services/house-projects","In-House Projects"
"https://pec.ac.in/institute/email-services/current-students/time-tables","Time Tables"
"https://pec.ac.in/institute/email-services/current-students/examination","Examination"
"https://pec.ac.in/institute/email-services/academics/calendar","Academic Calendar"
"https://pec.ac.in/institute/email-services/programmes/ug/structure","Undergraduate Programme"
"https://pec.ac.in/institute/email-services/programmes/pg/structure","Postgraduate Programme"
"https://pec.ac.in/institute/email-services/programmes/phd","PhD Programme"
"https://pec.ac.in/institute/email-services/library","Library"
"https://pec.ac.in/institute/email-services/computer-centre","Computer Centre"
"https://pec.ac.in/institute/email-services/Sports","Sports"
"https://pec.ac.in/institute/email-services/hostels","Hostels"
"https://pec.ac.in/institute/email-services/medical-facilities","Medical Facility"
"https://pec.ac.in/institute/email-services/workshops","Workshops"
"https://pec.ac.in/institute/email-services/multimedia","Multimedia"
"https://pec.ac.in/institute/email-services/prospectus","Brochure & Prospectus"
"https://pec.ac.in/institute/email-services/institute/sexual-harassment-complaints-committee","Sexual Harassment Complaints"
"https://pec.ac.in/institute/email-services/credits","Website Credits"
"https://pec.ac.in/institute/email-services/web_editor","Web Editor"
"https://pec.ac.in/institute/email-services/anti-ragging","Anti-Ragging"
"https://pec.ac.in/institute/email-services/privacy-policy","Privacy Statement"
